time,open,high,low,close,Hourly 20 EMA,Plot
2025-06-06T12:40:00-05:00,6002.5,6004.25,6000.75,6003.75,5980.783529482652,5999.233317210186
2025-06-06T12:45:00-05:00,6004,6005.5,6003.75,6004.75,5980.783529482652,5999.758715571121
2025-06-06T12:50:00-05:00,6004.75,6006.25,6003.25,6004,5980.783529482652,6000.16264742149
2025-06-06T12:55:00-05:00,6004.25,6006.75,6004,6005.5,5980.783529482652,6000.6709667146815
2025-06-06T13:00:00-05:00,6005.75,6014.75,6005.5,6013.25,5980.783529482652,6001.868969884712
2025-06-06T13:05:00-05:00,6013.25,6015,6011.25,6014.75,5980.783529482652,6003.095734657597
2025-06-06T13:10:00-05:00,6014.75,6015.25,6012.75,6013.5,5980.783529482652,6004.086617071159
2025-06-06T13:15:00-05:00,6013.5,6017,6013.25,6016.25,5980.783529482652,6005.245034492953
2025-06-06T13:20:00-05:00,6016.5,6017.75,6013.25,6015.25,5980.783529482652,6006.197888350767
2025-06-06T13:25:00-05:00,6015.25,6015.5,6011.5,6012.25,5983.78033619859,6006.774279936409
2025-06-06T13:30:00-05:00,6012.25,6020.75,6012.25,6018.5,5983.78033619859,6007.89101518056
2025-06-06T13:35:00-05:00,6018.75,6019.75,6014.75,6015.5,5983.78033619859,6008.615680401459
2025-06-06T13:40:00-05:00,6015.75,6017.75,6012.5,6014.25,5983.78033619859,6009.152282267987
2025-06-06T13:45:00-05:00,6014.5,6015,6011.75,6013.5,5983.78033619859,6009.566350623417
2025-06-06T13:50:00-05:00,6013.5,6015.75,6011,6015.5,5983.78033619859,6010.131460087853
2025-06-06T13:55:00-05:00,6015.5,6017,6013.5,6013.5,5983.78033619859,6010.4522734128195
2025-06-06T14:00:00-05:00,6013.5,6016.25,6012.75,6014.75,5983.78033619859,6010.861580706836
2025-06-06T14:05:00-05:00,6014.75,6017.25,6012.75,6013,5983.78033619859,6011.065239687137
2025-06-06T14:10:00-05:00,6013,6015.25,6011,6013,5983.78033619859,6011.249502574076
2025-06-06T14:15:00-05:00,6013.25,6013.5,6010.5,6011.5,5983.78033619859,6011.273359471784
2025-06-06T14:20:00-05:00,6011.25,6011.25,6008,6009.5,5983.78033619859,6011.104468093518
2025-06-06T14:25:00-05:00,6009.25,6014,6009,6009.75,5986.253637513009,6010.975471132231
2025-06-06T14:30:00-05:00,6009.75,6012.75,6008,6009.75,5986.253637513009,6010.858759595828
2025-06-06T14:35:00-05:00,6009.5,6012.5,6007.5,6008,5986.253637513009,6010.586496777178
2025-06-06T14:40:00-05:00,6007.75,6009.75,6006.25,6009.75,5986.253637513009,6010.5068304174465
2025-06-06T14:45:00-05:00,6009.5,6012.25,6006.5,6008.25,5986.253637513009,6010.291894187213
2025-06-06T14:50:00-05:00,6008.25,6015.25,6007.5,6013.5,5986.253637513009,6010.597428074145
2025-06-06T14:55:00-05:00,6013.25,6013.5,6005.25,6006.5,5986.253637513009,6010.207196828988
2025-06-06T15:00:00-05:00,6006.75,6009.25,6004.5,6005.75,5986.253637513009,6009.782701892894
2025-06-06T15:05:00-05:00,6005.75,6007.5,6005.5,6007.25,5986.253637513009,6009.541492188809
2025-06-06T15:10:00-05:00,6007.25,6008.75,6006,6008.25,5988.348529178437,6009.418492932732
